place,mag,id,longitude,latitude,time,year
"21km E of Macau, Macao",3.8,us70006v48,113.757,22.1714,2020-01-05 06:55:36.714,2020
"30km SSE of Wenquan, China",4.6,us70005tpj,110.347,22.0594,2019-10-12 22:55:23.191,2019
"31km S of Babu, China",4.9,us100068xz,111.4783,24.1344,2016-07-31 17:18:14.170,2016
"5km SSE of Xichang, China",4.5,usc000fbj7,114.469,23.882,2013-02-22 11:34:12.150,2013
"Guangdong, China",4.3,usp000jr7d,114.48,23.692,2012-08-31 13:52:12.570,2012
"Guangdong, China",4.4,usp000jezk,114.444,23.991,2012-02-16 02:34:22.920,2012
"Hong Kong - Guangdong region, China",3.8,usp000hpv1,113.928,22.566,2010-11-19 14:42:03.300,2010
"Guangdong, China",4.4,usp000d4dk,111.547,21.76,2004-09-17 02:31:22.110,2004
"Guangdong, China",4.4,usp0009db3,114.455,23.913,1999-08-20 01:14:53.640,1999
"Guangdong, China",4.1,usp000953z,114.993,23.833,1999-03-25 06:10:18.400,1999
"Guangdong, China",4.2,usp0008813,112.869,23.192,1997-09-26 13:26:52.410,1997
"Guangdong, China",4.3,usp00076pg,115.783,23.877,1995-11-12 13:43:18.750,1995
"Guangdong, China",4.6,usp0005bze,115.464,23.799,1992-08-05 00:56:43.600,1992
"Guangdong, China",4.2,usp0004ww3,114.492,23.849,1991-09-21 23:37:06.480,1991
"Guangdong, China",3.9,usp0004rqg,116.844,23.134,1991-05-16 13:50:36.880,1991
"Guangdong, China",4.7,usp00042e4,114.608,23.727,1989-11-26 01:02:32.680,1989
"Guangdong, China",5.6,usp00042e2,114.58,23.721,1989-11-26 00:13:48.970,1989
"Guangdong, China",4.7,usp0003zqd,112.264,21.709,1989-09-18 12:53:19.170,1989
"Guangdong, China",4.7,usp00038de,114.496,23.783,1987-09-15 10:04:34.770,1987
"Jiangxi, China",4.1,usp00037yv,115.632,25.046,1987-08-31 21:39:26.780,1987
"Jiangxi, China",4.0,usp00037hq,115.57,25.106,1987-08-15 01:59:51.570,1987
"Jiangxi, China",,usp00037gk,115.633,25.099,1987-08-14 06:18:20.810,1987
"Jiangxi, China",4.7,usp000376e,115.603,25.133,1987-08-03 08:19:10.580,1987
"Jiangxi-Guangdong border region, China",4.9,usp000375r,115.608,24.924,1987-08-02 18:07:35.530,1987
"Guangdong, China",4.1,usp00032rx,111.643,21.73,1987-02-25 22:28:05.330,1987
"Guangdong, China",3.6,usp0002y9q,111.524,21.957,1986-09-23 04:15:17.200,1986
"Jiangxi-Guangdong border region, China",3.8,usp0002y3g,114.426,24.031,1986-09-15 13:47:29.140,1986
"Guangdong, China",4.1,usp0002qgq,111.517,21.978,1986-01-28 07:13:51.460,1986
"Guangdong, China",4.3,usp0002jdf,111.74,21.796,1985-09-04 07:58:15.830,1985
"Jiangxi, China",,usp0001v92,115.884,25.154,1983-05-12 15:04:42.120,1983
"Fujian, China",,usp0001u03,117.067,24.204,1983-03-27 18:26:47.020,1983
"Jiangxi-Guangdong border region, China",,usp0001juk,114.13,24.85,1982-02-26 03:00:05.770,1982
"Jiangxi-Guangdong border region, China",4.5,usp0001ju4,114.775,24.786,1982-02-25 08:39:08.110,1982
"Guangdong, China",5.7,iscgem807433,111.803,21.661,1969-07-26 06:49:41.000,1969
"Guangdong, China",6.0,iscgem17291518,114.639,23.82,1962-03-19 04:18:55.000,1962
