longitude,latitude,elevation,magnitude,magnitude^10,place,id,time,dt,year
163.2077,54.7018,22.06,6.6,156833688.0910795,"176 km SSE of Ust’-Kamchatsk Staryy, Russia",us7000djz6,1615919902866,2021-03-17 02:38:22.866,2021
-29.4991,-59.8408,10.0,6.0,60466176.0,South Sandwich Islands region,us7000dj9v,1615723513519,2021-03-14 20:05:13.519,2021
-177.6256,-28.2927,10.0,6.1,71334291.16628821,Kermadec Islands region,us7000dgi0,1615036325430,2021-03-06 21:12:05.430,2021
-177.9071,-28.3361,10.0,6.2,83929936.58683404,Kermadec Islands region,us7000dgh7,1615032323028,2021-03-06 20:05:23.028,2021
-176.9978,-28.6204,10.29,6.1,71334291.16628821,Kermadec Islands region,us7000dgdc,1615014989354,2021-03-06 15:16:29.354,2021
179.6102,-37.6099,13.0,6.3,98493029.18817906,"182 km NE of Gisborne, New Zealand",us7000dg8x,1614989782185,2021-03-06 08:16:22.185,2021
-176.3109,-29.0883,10.0,6.2,83929936.58683404,Kermadec Islands region,us7000dfz4,1614954289623,2021-03-05 22:24:49.623,2021
-176.5582,-28.7146,17.0,6.3,98493029.18817906,Kermadec Islands region,us7000dft1,1614911436571,2021-03-05 10:30:36.571,2021
-176.6398,-28.4843,25.0,6.1,71334291.16628821,Kermadec Islands region,us7000dfq2,1614899580557,2021-03-05 07:13:00.557,2021
-176.6882,-28.3963,10.0,6.1,71334291.16628821,Kermadec Islands region,us7000dfmf,1614889506347,2021-03-05 04:25:06.347,2021
-177.2817,-29.7347,26.45,8.1,1215766545.9056923,"Kermadec Islands, New Zealand",us7000dflf,1614886112819,2021-03-05 03:28:32.819,2021
-177.8343,-29.6647,53.09,7.4,492399039.73558795,"Kermadec Islands, New Zealand",us7000dfk3,1614879684425,2021-03-05 01:41:24.425,2021
167.32,-14.464,173.3,6.1,71334291.16628821,"69 km NNE of Port-Olry, Vanuatu",us7000dfhs,1614876791176,2021-03-05 00:53:11.176,2021
179.4443,-37.5628,20.78,7.3,429762582.9703557,"174 km NE of Gisborne, New Zealand",us7000dffl,1614864456464,2021-03-04 21:27:36.464,2021
